Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"Cal non se corresponde coa corrente continua?";"";"adoitamos manexar grandes voltaxes con ela";"Sempre ten o mesmo sentido";"é a que proporcionan as baterías e pilas";"podemos obtela de adaptadores de rede";"electric_gal_electricidade"
"Cal NON se corresponde coa corrente alterna?";"";"É a que nos dan as pilas e baterías";"Cambia continuamente de sentido";"É a que vén da rede, é dicir, dos enchufes";"Adoitamos manexar voltaxes maiores que coa corrente continua";"electric_gal_electricidade"
"Que aparato funciona con Corrente Alterna?";"";"Lavadora";"Ordenador";"Reloxio dixital";"Teléfono móbil";"electric_gal_electricidade"
"Cal destes aparellos funciona con corrente continua?";"";"Un teléfono móbil";"Un secador do pelo";"Unha impresora";"Unha lavadora";"electric_gal_electricidade"
"Cal NON se corresponde coa corrente alterna?";"";"Adoitamos manexar voltaxes menores que coa corrente continua";"Cambia continuamente de sentido";"Podémola obter da rede, é dicir, nos enchufes";"Podemos obtela a partir de corrente continua grazas a un adaptador";"electric_gal_electricidade"
"Cal NON se corresponde coa corrente continua?";"";"Adoitamos manexar grandes voltaxes con ela";"Sempre ten o mesmo sentido";"É a que nos dan as pilas e baterías";"Podémola obter da rede grazas aos adaptadores de corrente";"electric_gal_electricidade"
"Que nos indica a Voltaxe dun xerador?";"";"A enerxía que nos pode proporcionar cada unidade de carga";"A oposición que este exercerá fronte ao corrente que o atravesa";"Que cantidade de electróns nos dará nunha unidade de tempo.";"A enerxía que nos proporcionará ese xerador por unidade de tempo";"electric_gal_electricidade"
"Que nos indica a voltaxe dunha pila?";"";"A enerxía que nos poderá proporcionar cada unidade de carga desa pila";"A cantidade de electróns por segundo que poderán saír desa pila";"A potencia eléctrica que desenvolverá esa pila nun circuíto eléctrico";"A cantidade de electróns que hai almacenados nesa pila, é dicir, a súa carga.";"electric_gal_electricidade"
"Cal frase estaría ben expresada?";"";"Por favor, mide a intensidade que pasa por ese cable";"Por favor, mide a voltaxe que pasa por ese cable";"Por favor, mide a resistencia que pasa por ese cable";"Por favor, mide a potencia que pasa por ese cable";"electric_gal_electricidade"
"Que é a Intensidade dunha corrente?";"";"A cantidade de electróns que pasan por un punto nun tempo determinado";"A enerxía desa corrente";"A oposición que presenta un material a ser atravesado polos electróns";"A enerxía producida polos electróns ao atravesar un compoñente determinado";"electric_gal_electricidade"
"Si por un circuíto pasan 5 000 000 electrones en 1 segundo, que intensidad estará pasando?";"";"Mucho menos de un amperio";"Muchísimos amperios";"Pocos amperios";"Un amperio";"electric_gal_electricidade"
"Si por un circuíto pasa un amperio, cantos electróns estarán a circular por el?";"";"Trillóns cada segundo";"Miles";"Millóns";"Trillóns";"electric_gal_electricidade"
"Que é a Resistencia dun elemento";"";"A oposición que presenta un corpo a ser atravesado polos electróns";"Un indicador da facilidade coa que a corrente atravesa un corpo";"A cantidade de calor que xera un compoñente ao ser atravesado pola corrente eléctrica";"A enerxía eléctrica que perde un compoñente nun circuíto, ao ser atravesado por unha corrente";"electric_gal_electricidade"
"Cal destas é unha expresión CORRECTA da Lei de Ohm?";"";"R=V/I";"R=I/V";"R=V·I";"R.V=I";"electric_gal_electricidade"
"Cal das seguintes sería unha expresión incorrecta da lei de Ohm?";"";"R=I.V";"I=V/R";"I.R=V";"R=V/I";"electric_gal_electricidade"
"Tes un circuíto conectado a unha voltaxe de  20 V polo que ves que pasa unha corrente de 10 A. Cal é a resistencia que ten ese circuíto?";"";"2Ω";"200Ω";"0,5Ω";"1Ω";"electric_gal_electricidade"
"Conecto unha resistencia de 100 Ω nun circuíto cunha pila de 9 V. Que intensidade circula?";"";"0,09 A";"900 A";"0,9 A";"11,11 A";"electric_gal_electricidade"
"Tes un circuíto dunha resistencia de 4 ohmnios conectado a unha pila de 8V. Que intensidade circulará?";"";"2 A";"32 A";"0,5 A";"12 A";"electric_gal_electricidade"
"Comprobo que a intensidade que circula por un circuíto é de 2 A e vexo que está alimentado a 6V. Que resistencia hai no circuíto?";"";"3Ω";"12Ω";"0,33Ω";"2/6Ω";"electric_gal_electricidade"
"Tes un circuíto de resistencia de 3 ohmnios polo que pasa unha intensidade de 9A. A que voltaxe estará conectado ese circuíto?";"";"27 V";"0,33 V";"3 V";"12 V";"electric_gal_electricidade"
"Nun circuíto cunha resistencia de 100 Ω comprobo que a intensidade é de 0,5 A. Cal é a voltaxe?";"";"50V";"200V";"5V";"0,005V";"electric_gal_electricidade"
"Tes un circuíto cunha voltaxe determinada conectada a unha resistencia. Substitúes esa resistencia por unha de maior valor, que vai pasar no circuíto?";"";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, será menor";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, aumentará";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo non se verá afectada";"A intensidade que pasa pola resistencia será maior";"electric_gal_electricidade"
"Tes un circuíto cunha voltaxe determinada conectada a unha resistencia. Substitúes esa resistencia por unha de menor valor, que vai pasar?";"";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, aumentará";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, diminuirá";"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo non se verá afectada";"A intensidade que pasa pola resistencia será máis pequena";"electric_gal_electricidade"
"Estás medindo a intensidade que pasa por unha resistencia que non varía.  Nun intre determinado, observas que o valor da intensidade reduce á metade. Que terá pasado?";"";"A voltaxe do circuíto reduciuse, tamén, á metade";"A voltaxe do circuíto duplicouse";"Non se pode saber sen coñecer a voltaxe á que está conectado o circuíto";"A cantidade de electróns que pasan polo circuíto está a aumentar por algún motivo";"electric_gal_electricidade"
"Estás a medir a intensidade que pasa por unha resistencia que non varía.  Nun intre determinado, observas que o valor da intensidade se duplica. Que terá pasado?";"";"A voltaxe do circuíto se duplicou tamén";"A voltaxe do circuíto reduciuse a metade";"Non se pode saber sen coñecer a voltaxe á que está conectado o circuíto";"A cantidade de electróns que pasan polo circuíto está a reducirse por algún motivo";"electric_gal_electricidade"
"Que potencia eléctrica xerará un compoñente que funcione a 3 V e 2 A?";"";"6W";"5W";"1,5W";"0,67W";"electric_gal_electricidade"
"Que calor nos dará un circuíto durante 10 segundos, se a voltaxe é de 9 V e a intensidade de 2A?";"";"180 J";"1,8 J";"45 J";"4,5 J";"electric_gal_electricidade"
"Un circuíto que consume unha potencia de 10 W funciona durante 5 segundos. Que enerxía consumiu nese tempo?";"";"50 J";"2 J";"10 J";"0,5 J";"electric_gal_electricidade"
"Cal é a carga dun átomo no seu estado natural?";"";" neutra";"positiva";"negativa";"depende do átomo";"electric_gal_electricidade"
"Cal é a unidade elemental de Voltaxe?";"";"O Voltio (V)";"O Ohmnio (Ω)";"O Amperio (A)";"O Vatio (W)";"electric_gal_electricidade"
"Cal é a unidade elemental de Intensidade?";"";"O Amperio (A)";"O Ohmnio (Ω)";"O Voltio (V)";"O Vatio (W)";"electric_gal_electricidade"
"Cal é a unidade elemental de Resistencia?";"";"O Ohmnio (Ω)";"O Voltio (V)";"O Amperio (A)";"O Vatio (W)";"electric_gal_electricidade"
"Cal é a unidade elemental de Potencia?";"";"O Vatio (W)";"O Voltio (V)";"O Amperio (A)";"O Ohmnio (Ω)";"electric_gal_electricidade"
